,average_act
1061,18.8
203,15.1221001221001
6751,21.6666666666667
5118,21.0
6618,17.8571428571429
7302,22.4725274725275
3046,22.6
1739,21.043956043956
2743,19.6
6378,22.8144078144078
5741,20.030525030525
6047,17.7
6299,18.7
896,18.5
4377,20.4456654456654
4879,24.0
6786,16.8803418803419
1866,17.5
4701,17.0
7062,20.4212454212454
3331,21.1
7604,23.6
4398,18.5897435897436
4296,20.6166056166056
7567,18.1
5896,20.3724053724054
4925,21.0
2371,21.3003663003663
4157,20.0549450549451
3869,24.6703296703297
4761,14.0
496,20.0793650793651
2590,17.8
1903,22.3
4418,19.7619047619048
6101,17.6
6646,18.980463980464
563,16.8803418803419
1235,20.4
7832,20.2
140,23.1074481074481
7883,22.8
668,16.6117216117216
5518,20.7142857142857
1079,16.2
6269,21.4
6596,15.2930402930403
6519,22.5946275946276
523,18.4188034188034
3748,22.5457875457875
1958,17.9
3115,20.8
1184,22.8
5211,22.0
7687,21.9
5183,22.0
4318,19.8595848595849
4442,20.2991452991453
5943,18.8095238095238
5766,20.2991452991453
3971,15.4639804639805
4660,24.1086691086691
4357,21.3003663003663
4575,23.3516483516484
1400,21.3
7296,25.8913308913309
4109,16.050061050061
7664,22.5
1117,18.7
2285,17.7838827838828
5699,20.3479853479853
7861,21.1
7523,17.5885225885226
5672,23.0586080586081
6459,21.6666666666667
6537,19.3223443223443
2394,21.007326007326
7947,20.5
2332,23.5225885225885
1575,16.3308913308913
7363,21.4957264957265
1590,18.1843711843712
473,15.5128205128205
3038,20.7
6070,18.9
606,16.001221001221
6099,18.7
227,20.1770451770452
665,20.958485958486
7822,21.8
4779,14.0
7985,21.8
417,23.2295482295482
3588,24.2307692307692
2668,21.0
1033,15.0
4679,19.9084249084249
6740,20.1526251526252
6554,24.2307692307692
3805,24.2307692307692
4181,21.007326007326
2734,19.7
4107,15.4639804639805
727,20.7875457875458
4480,21.0561660561661
3692,20.1526251526252
7583,24.0
2156,19.6
2799,22.4
2198,18.1
5087,21.0
7131,16.4652014652015
869,19.5
7384,25.989010989011
1462,21.8888888888889
6570,22.7167277167277
2845,19.9
1662,22.2527472527473
5073,23.0
2856,21.4
6343,18.980463980464
1078,17.0
7413,19.2735042735043
3624,22.7899877899878
1185,20.7
1304,18.4
5203,22.0
4888,20.0
2554,26.2820512820513
958,22.2
6167,18.5
2099,16.1
927,20.2
3850,23.3028083028083
3125,19.7
1829,18.9
128,18.1257631257631
1086,22.5
1813,25.7
3903,17.4420024420024
610,22.1794871794872
1219,25.0
5389,16.001221001221
3307,20.8
7907,21.5
4987,22.0
1195,19.6
778,20.030525030525
1612,21.4615384615385
4451,21.5934065934066
3151,21.6
6952,20.3724053724054
6,18.3870573870574
5226,20.0
806,20.2258852258852
6564,19.3711843711844
6654,20.6898656898657
4011,16.3675213675214
7153,21.2026862026862
3003,23.8
4005,13.8034188034188
5854,19.7374847374847
3018,17.5
6344,23.034188034188
7005,20.2014652014652
7545,16.4163614163614
2699,20.0
5116,21.0
705,21.6910866910867
2351,21.031746031746
2629,13.6
913,20.5
3315,21.4
4192,19.1269841269841
6502,20.1526251526252
463,19.5421245421245
6316,19.2735042735043
6289,20.0
6382,19.7130647130647
1570,21.009768009768
5736,21.4957264957265
1659,20.4578754578755
6387,23.1074481074481
1134,21.9
6131,19.2
7821,22.1
7299,24.8412698412698
2883,19.3
1164,22.1
6470,17.6617826617827
5192,24.0
4904,15.0
6006,13.6
7648,23.2
2714,17.9
1806,19.8
6192,18.2
6847,16.978021978022
5240,22.0
5763,19.7374847374847
5560,24.8901098901099
7645,22.9
810,15.952380952381
5983,20.6898656898657
1567,21.5201465201465
2710,21.9
5634,21.4468864468864
715,17.7838827838828
1934,19.8
2319,21.7399267399267
5328,25.0
1538,20.8388278388278
5698,21.3492063492064
6490,21.1782661782662
2318,20.8852258852259
5609,21.8131868131868
513,21.4224664224664
7932,22.3
7521,19.1514041514042
137,26.1355311355311
35,23.1562881562882
4265,15.8058608058608
2979,21.1
7818,23.2
4729,20.0
3946,16.7338217338217
3270,16.2
5418,16.7338217338217
4098,19.4444444444444
6400,21.6422466422466
396,21.1538461538462
1141,19.0
3726,23.2051282051282
6159,19.3
6467,18.4920634920635
456,19.2490842490842
2008,21.0
4233,16.5140415140415
6392,18.4676434676435
1991,21.7
5692,22.1550671550672
296,22.0818070818071
5690,18.003663003663
619,16.7338217338217
4907,20.0
6681,21.2026862026862
1207,19.7
2994,17.3
1062,15.0
2708,21.4
7967,21.0
7771,14.4
7921,21.9
4216,18.6385836385836
6794,15.1465201465201
5148,22.0
2539,19.981684981685
7671,22.4
2796,24.7
2823,23.1
5006,20.0
5546,23.7423687423687
2928,17.2
1573,20.4383394383394
6471,18.1501831501831
